"age_l","age_u","male_m","male_l","male_u","female_m","female_l","female_u","both_m","both_l","both_u"
0,4,0.003,0.002,0.004,0.003,0.002,0.003,0.003,0.002,0.003
5,9,0.001,0,0.001,0.001,0,0.001,0.001,0,0.001
10,14,0.001,0.001,0.002,0.001,0,0.001,0.001,0.001,0.001
15,19,0.003,0.002,0.003,0.002,0.002,0.003,0.003,0.002,0.003
20,24,0.008,0.007,0.009,0.005,0.004,0.006,0.006,0.005,0.008
25,29,0.017,0.014,0.02,0.009,0.008,0.011,0.013,0.011,0.015
30,34,0.033,0.028,0.038,0.015,0.013,0.018,0.024,0.021,0.028
35,39,0.056,0.048,0.065,0.025,0.021,0.029,0.04,0.034,0.047
40,44,0.106,0.091,0.123,0.044,0.038,0.051,0.075,0.064,0.087
45,49,0.168,0.144,0.195,0.073,0.063,0.085,0.121,0.104,0.14
50,54,0.291,0.25,0.336,0.123,0.105,0.142,0.207,0.177,0.239
55,59,0.448,0.384,0.518,0.197,0.169,0.228,0.323,0.277,0.373
60,64,0.595,0.511,0.688,0.318,0.273,0.367,0.456,0.392,0.527
65,69,1.452,1.244,1.68,0.698,0.598,0.807,1.075,0.921,1.244
70,74,2.307,1.976,2.668,1.042,0.893,1.206,1.674,1.435,1.937
75,79,4.26,3.651,4.929,2.145,1.838,2.482,3.203,2.744,3.705
80,999,10.825,9.276,12.523,5.759,4.935,6.662,8.292,7.105,9.593
